קרטריון,תחום_התמחות,סוג מקצוע,משך_התמחות_רשמי (שנים),הסבר על ההתמחות ע׳׳פ הרי,אתר של הר׳׳י על ההתמחות,משך_ממוצע_בפועל,זמן_המתנה_חציוני_לתקן,מספר המתקבלים שדיווחו שמצאו מיד התמחות,מספר המתקבלים שדיווחו שמצאו עד חצי שנה,מספר המתקבלים שדיווחו שמצאו עד שנה,מספר המתקבלים שדיווחו שמצאו עד שנתיים,מספר המתקבלים שדיווחו שמצאו אחרי שנתיים,מספר מתמחים חדשים 2020,מספר מתמחים חדשים 2021,מספר מתמחים חדשים 2022,מספר מתמחים חדשים 2023,מספר מתמחים חדשים 2024,שכר_לא_פריפריה,שכר_פריפריה 1,פער_שכר_פריפריה,מספר_מתמחים,מספר נשים,אחוז_נשים,מספר גברים,אחוז_גברים,מעבר_שלב_א,מעבר_שלב_ב,מדד_שחיקה,מספר מיטות בתחום,הערות למספר מיטות,מספר_תקנים_שצפויים להיפתח_ארצי,אחוז המתמחים שביצעו אלקטיב בתחום,אחוז האלקטיביסטים שהתחילו התמחות,מספר הסטאז׳רים המעוניינים בתחום ב2025,מספר הסטאז׳רים המעוניינים בתחום ב2024,אחוז הסטאז׳רים המעוניינים מסך הסטאז׳רים,אחוז המתמחים מסך המתמחים,מדד ביקוש יחסי,אחוז המתמחים מסך המתמחים,,עודכן_אחרון
,פנימית,בסיס,4,"(החל מיום 10.03.21)

4 שנים מהן –

א. 3 שנים ברפואה פנימית;

ב. חודש בטיפול נמרץ כללי או בטיפול נמרץ פנימי;

ג. 5 חודשים, בתקופות רצופות של חודש לפחות כל אחת, באחד או יותר ממקצועות אלו: אימונולוגיה קלינית ואלרגולוגיה, אונקולוגיה, אנדוקרינולוגיה, גסטרואנטרולוגיה, גריאטריה, המטולוגיה, השתלת מח עצם, חדר מיון, טיפול נמרץ כללי, טיפול נמרץ קרדיולוגי, מחלות ריאה, מרפאה פנימית או מרפאה לרפואת המשפחה או יחידה לטיפול יום פנימית, נפרולוגיה, קרדיולוגיה, ראומטולוגיה, רדיולוגיה אבחנתית, מחלות זיהומיות, רפואה לשיכוך כאב, גנטיקה רפואית, רפואה פליאטיבית.

ד. ½ שנה מדעי יסוד",https://www.ima.org.il/internship/Syllabus.aspx?SpId=10,4.7,2,852,512,283,137,38,334,279,311,323,298,"16,954.00","19,965.92","3,011.92",1243,476,38.02%,776.00,61.98%,53.19%,74.85%,4.9,4034,מוגדר כמספר מיטות פנימית ופנימית מוגבר,,66%,71%,272,213,14.80%,14.98%,0.99,16.97%,0.87,
,כירורגיה כללית,בסיס,6,"6 שנים מהן –
 

18 חודשים ראשונים בהתמחות - מתוכם 15 חודשים במחלקה לכירורגיה כללית ו-3 חודשים במחלקה לטיפול נמרץ כללי (חובה)
 
3 חודשים, בתקופות רצופות של חודש כל אחת לפחות, באחד או יותר מהמקצועות הבאים: כירורגיית כלי דם, כירורגיית ילדים, כירורגיית חזה, גסטרואנטרולוגיה.
 
39 חודשים בכירורגיה כללית ומתוכם:

3 חודשים רוטציה ביחידה מוכרת לטראומה (חובה)
6 חודשים, בתקופות של חודשיים או 3 חודשים רצופות במקצועות הבאים: כירורגיה מטבולית ובריאטרית, כירורגיה אנדוקרינית, כירורגיה של הקולון והרקטום, כירורגיה הפטוביליארית, כירורגיה של השד, כירורגיה דחופה וטראומה, השתלות, מחלקה כירורגית בבית חולים אחר, ויכול להיות שחודש מתקופה זו יהיה באחד המקצועות הבאים: מחלות זיהומיות, מכוני סקר לגידולים, כירורגיה בקהילה, מחלקה כירורגית בבית חולים אחר מחוץ לישראל.
 
6 חודשים אחרונים במחלקה לכירורגיה כללית.
 
6 חודשים מדעי יסוד

הוראת מעבר - מי שביום 05.08.2022 השלים לפחות שליש מתקופת התמחותו, יוכל להמשיך ולהשלימה לפי תכנית ההתמחות שחלה עליו בעת תחילת התמחותו.

סילבוס ההתמחות המורחב וכן רשימת הניתוחים חלה על מי שהחל/ה את התמחותו/ה ב-5.8.22 והלאה.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=70,6.9,2,132,71,68,49,11,40,57,66,76,68,"16,954.00","19,965.92","3,011.92",365,137,37.23%,231.00,62.77%,84.75%,68.56%,5,1832,"מוגדר כמספר מיטות כירורגיה כללי, השתלת איברים, טראומה, ט.נ. השתלות, ט.נ. כירורכיה כללית, כירורגיה, כיר. כללית מוגבר",,57%,56%,60,69,3.94%,4.40%,0.89,3.94%,1.00,
,אורתופדיה,בסיס,6,"6 שנים מהן -

א. 4 שנים - כירורגיה אורתופדית;

ב. 6 חודשים באחד מהמקצועות הבאים או 3 חודשים בכל אחד משניים מהם: כירורגיה כללית, כירורגיה פלסטית, כירורגיית עמוד שדרה, ארטרוסקופיות ופגיעות ספורט, כירורגיית כתף, כירורגיית כף רגל וקרסול, אונקולוגיה אורתופדית, השתלת מפרקים, כירורגיית כף יד, אורתופדית ילדים ואולם בכירורגיית כף יד ובאורתופדית ילדים לפי סעיף קטן זה, אין לבצע יותר משלושה חודשים בכל אחד.

ג. 3 חודשים - טיפול נמרץ כללי;

ד. 3 חודשים – אורתופדית ילדים;

ה. 3 חודשים – כירורגיית כף יד;

ו. 3 חודשים באחד מאלה: שיקום, נוירולוגיה, נוירוכירורגיה, כירורגיית כלי דם, יחידה לטראומה, כירורגיה כללית, טראומה אורתופדית, אורתופדיה בקהילה.
 
6 חודשים מדעי יסוד.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=75,6.5,4,118,123,90,63,36,56,66,62,83,81,"16,954.00","19,965.92","3,011.92",414,53,12.68%,365.00,87.32%,70.66%,69.70%,5.2,1137,"מוגדר כמספר מיטות אורתופדיה, כירורגיה כף יד, עירורכיה עמוד שדרה, אורתואונקולוגיה, כף רגל סוכרתית.",,89%,59%,98,101,6.07%,4.99%,1.22,4.48%,1.35,
,רדיולוגיה (דימות),בסיס,5,"אחד משני המסלולים האלה:

 

1.  מסלול בסיס

5 שנים מהן  –

א. 3 שנים ו-9 חודשים – רדיולוגיה אבחנתית;

ב. 3 חודשים רפואה גרעינית;

ג. 6 חודשים באחד מאלה: רפואת ילדים, כירורגיה כללית, כירורגיה אורתופדית, רפואה פנימית;
או 
3 חודשים באחד מאלה: רפואת ילדים, כירורגיה כללית, רפואה פנימית
ו- 3 חודשים במחלקה או במכון קליני בבית חולים כללי.

ד. 6 חודשים מדעי יסוד
**הבהרה: את התקופה בת 3 חודשים במחלקה או במכון קליני בבית חולים כללי יש לבצע במקצוע קליני שאינו רדיולוגיה אבחנתית.

 ",https://www.ima.org.il/internship/Syllabus.aspx?SpId=48,5.5,4,97,119,71,32,13,40,47,64,70,92,"16,954.00","19,965.92","3,011.92",296,129,42.57%,174.00,57.43%,78.40%,73.50%,4.7,,,,77%,28%,46,67,3.45%,3.57%,0.97,4.43%,0.78,
,כירורגיה אורולוגית,בסיס,6,"6 שנים, מהן:

א. 5 שנים כירורגיה אורולוגית;

ב. 3 חודשים כירורגיה כללית

 ג. 3 חודשים באחד מהמקצועות האלה: כירורגיה כללית, כירורגיית כלי דם, כירורגיית ילדים, כירורגיה פלסטית, יילוד וגינקולוגיה, נפרולוגיה, טיפול נמרץ כללי/ נשימתי / כירורגי, רדיולוגיה אבחנתית, השתלת איברים, אונקולוגיה. 

ד. 6 חודשים מדעי יסוד

 

הערה: בכירורגיה כללית בלבד ניתן לבצע 6 חודשים רצופים.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=41,6.5,3,44,33,31,24,4,22,22,29,25,21,"16,954.00","19,965.92","3,011.92",140,31,21.99%,110.00,78.01%,67.19%,74.33%,5,469,מוגדר כמספר מיטות אורולוגיה בלבד,,82%,45%,27,20,1.43%,1.69%,0.85,1.26%,1.14,
,רפואה דחופה,בסיס ועל,4.5,"½4 שנים, מהן –
30 חודשים במחלקה לרפואה דחופה;
9 חודשים במחלקה לרפואה פנימית;
חודש אורתופדיה;
חודש טיפול נמרץ;
חודש מרפאה לרפואת המשפחה;
3 חודשים במחלקה לכירורגיה כללית;
3 חודשים במחלקה לרפואה דחופה ילדים;
 ½ שנה מדעי יסוד.
 
הבהרה חשובה!
חודש וחצי רצוף מתוך 3 החודשים ברוטציה בכירורגיה כללית יבוצעו יחידת טראומה המוכרת למתן התמחות.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=293,5.1,7,142,76,34,22,9,53,38,40,56,52,"16,954.00","19,965.92","3,011.92",202,72,33.64%,142.00,66.36%,66.27%,75.55%,4.5,,,,49%,34%,61,61,3.72%,2.44%,1.53,2.95%,1.26,
,פתולוגיה,בסיס,5,"5 שנים, מהן:

א. 4 שנים בפתולוגיה אבחנתית – חובה;

ב. 6 חודשים בתקופות רצופות של שלושה חודשים כל אחת, בשניים ממקצועות אלה: כירורגייה כללית, רפואית ילדים, רפואה פנימית, אונקולוגיה, מחלות עור ומין, כירורגיית ילדים, כירורגיה של ראש וצוואר, כירורגיה אורולוגית, יילוד וגינקולוגיה, כירורגיה פלסטית, נוירוכירורגיה, כירורגיה של בית חזה, אורתופדיה אונקולוגית (במסגרת מחלקה אורתופדית), אימונולוגיה ואלרגיה, אנדוקרינולוגיה, אנדוקרינולוגיית ילדים, גנטיקה רפואית, גסטרואנטרולוגיה, גסטרואנטרולוגיית ילדים, המטולוגיה, המטו-אונקולוגיית ילדים, מחלות זיהומיות, מחלות מטבוליות, מחלות ריאה, מחלות ריאה ילדים, נאונטולוגיה, נוירולוגיות ילדים והתפתחות הילד, נפרולוגיה, נפרולוגיית ילדים, קרדיולוגיה, קרדיולוגיית ילדים, ריאומטולוגיה, גינקופתולוגיה, דרמטופתולוגיה, המטופתולוגיה, נוירופתולוגיה, נפרופתולוגיה, פתולוגיה פרינטלית, פתולוגיה של העצם והרקמות הרכות, פתולוגיה של מערכת העיכול, פתולוגיה של השתלות, ציטולוגיה, פתולוגיה של דרכי הנשימה, פתולוגיה משפטית, פתולוגיה של ראש-צוואר, פתולוגיה של חלל הפה, פתולוגיה מולקולורית, פתולוגיה של השד, פתולוגיה של השתן.


ג. 6 חודשים מדעי יסוד

 

** תכנית התמחות זו נכנסת לתוקף מיום 10/07/2023 עבור מתמחים שטרם השלימו שליש מתקופת התמחותם הכוללת עד תאריך זה.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=32,6.1,5,23,30,37,11,4,14,16,19,23,24,"16,954.00","19,965.92","3,011.92",99,63,58.33%,45.00,41.67%,56.12%,58.07%,4.5,,,,61%,61%,8,12,0.61%,1.19%,0.51,1.28%,0.48,
,הרדמה,בסיס,5,"5 שנים מהן:

¼ 3 שנים בהרדמה – חובה. כולל הרדמה בכירורגיה אורולוגית, בכירורגיה אורטופדית, בכירורגיה של בית החזה (כולל ניתוחי לב פתוחים וסגורים). בכירורגיה כללית, בנוירוכירורגיה, בכירורגיה פלסטית, ביילוד וגינקולוגיה, בכירורגית ילדים, בכירורגית עיניים, במחלות א.א.ג. וכירורגיה של ראש וצוואר, בהתאוששות, (מתוכן 3 חודשים חובה באחד מאלה: יילוד וגינקולוגיה, כירורגית ילדים, התאוששות).
6 חודשים רצופים או 2 תקופות של 3 חודשים טיפול נמרץ כללי –חובה.
3 חודשים מרפאת כאב – חובה.
שלושה חודשים בכל אחד משניים מאלה או חודשיים בכל אחד משלושה אלה: גסטרואנטרולוגיה, טיפול נמרץ ילדים, מחלות ריאה, נאונטולוגיה, נוירולוגיה, נפרולוגיה, קרדיולוגיה, רפואה דחופה, רפואה ילדים, רפואה פנימית.
6 חודשים – מדעי יסוד.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=47,6.3,2,282,196,92,47,10,114,98,93,107,115,"16,954.00","19,965.92","3,011.92",606,205,33.17%,413.00,66.83%,52.75%,61.25%,4.5,,,,72%,67%,99,84,5.58%,7.31%,0.76,6.07%,0.92,
,כירורגיה של בית החזה,בסיס ועל,6,"המקצוע כולל אחד מ-2 מסלולים:

מסלול כירורגית לב
מסלול כירורגית חזה כללית
 

מסלול כירורגית לב:

(החל מתאריך 16.3.16)

6 שנים מהן –

1) ½ 3 שנים, מהן:
36 חודשים במחלקה לכירורגית לב, מתוכם 3 חודשים בניתוחי לב ילדים
3 חודשים קרדיולוגיה
3 חודשים במחלקה לכירורגיית חזה.   ב. מסלול כירורגית חזה כללית:

(החל מתאריך 10/07/2023)

6 שנים מהן:     
א. 4 שנים בכירורגיית חזה
ב. 3 חודשים בכירורגיית לב
ג. 6 חודשים בכירורגיה כללית
ד. 3 חודשים במחלקת הרדמה או טיפול נמרץ כללי
ה. 3 חודשים במכון ריאות
ו. 3 חודשים באחד מהמקצועות האלה: אונקולוגיה של בית החזה, רדיולוגיה אבחנתית, פתולוגיה אבחנתית, כירורגיית ילדים, כירורגיית כלי דם, מחלקה לכירורגיית חזה במרכז רפואי אחר בארץ.
ז. 6 חודשים מדעי יסוד",https://www.ima.org.il/internship/Syllabus.aspx?SpId=72,7.0,2,27,19,8,3,2,7,7,13,8,14,"16,954.00","19,965.92","3,011.92",54,14,25.00%,42.00,75.00%,91.89%,84.88%,4.5,,,,63%,51%,8,9,0.52%,0.65%,0.80,0.60%,0.86,
,נוירולוגיה,בסיס,5,"5 שנים מהן - 

א. ¾ 3 שנים במחלקה לנוירולוגיה
 
ב. 3 חודשים במחלקה לרפואה פנימית
 
ג. 3 חודשים בפסיכיאטריה או בפסיכיאטריה של הילד והמתבגר
 
ד. 3 חודשים באחד מאלה: אונקולוגיה, גנטיקה רפואית, טיפול נמרץ כללי, נוירו אונקולוגיה, נוירוכירורגיה, נוירולוגיה במחלקה שונה מהמחלקה שבה נעשתה ההתמחות במקצוע הראשי, נוירולוגיית ילדים והתפתחות הילד, רדיולוגיה אבחנתית, רפואה לשיכוך כאב, רפואת עיניים, רפואה פיזיקלית ושיקום, רפואה פנימית.
 
ה. 6 חודשים - מדעי יסוד. ",https://www.ima.org.il/internship/Syllabus.aspx?SpId=60,5.7,3,80,57,50,29,6,35,42,45,47,44,"16,954.00","19,965.92","3,011.92",206,90,43.69%,116.00,56.31%,66.47%,78.95%,4.6,561,"מוגדר כמספר מיטות נוירולוגיה, ט.נ. נוירולוגיה, ט.נ. נוירולוגי ביניים, שבץ מוחי וט.נ. שבץ מוחי כפי שמוגדר ע׳׳י משרד הבריאות",,86%,47%,44,50,2.87%,2.48%,1.16,2.49%,1.15,
,קרדיולוגיה,בסיס ועל,6.5,"3 שנים רפואה פנימית
3 שנים קרדיולוגיה
½ שנה מדעי יסוד ",https://www.ima.org.il/internship/Syllabus.aspx?SpId=2,6.5,12,104,41,25,10,0,4,10,8,10,10,"16,954.00","19,965.92","3,011.92",31,9,27.27%,24.00,72.73%,#DIV/0!,#DIV/0!,4.5,,,,,,,,0.00%,0.37%,0.00,0.55%,0.00,
,אונקולוגיה,בסיס,5.5,"אונקולוגיה רפואית (מסלול בסיס) (החל מ-23/08/2022)

½ 5 שנים, מהן:
3 שנים  אונקולוגיה רפואית - חובה;
1 שנה רדיותרפיה - חובה;
9 חודשים רפואה פנימית - חובה;
3 חודשים באחד מענפי הרפואה המפורטים בטור א'*;
6 חודשים מדעי יסוד
",https://www.ima.org.il/internship/Syllabus.aspx?SpId=46,6.1,3,72,63,22,15,4,40,32,48,31,36,"16,954.00","19,965.92","3,011.92",141,86,60.14%,57.00,39.86%,77.68%,69.12%,4.7,,,,66%,46%,23,24,1.43%,1.70%,0.84,1.83%,0.78,
,רפואה גרעינית,בסיס,4.5,"מסלול בסיס (החל מ-10.3.21)

½4 שנים מהן –
 

2 שנים רפואה גרעינית
 
6 חודשים ביחידת PET-CT
 
12 חודשים רדיולוגיה אבחנתית
 
3 חודשים רפואה פנימית
 
1 חודש רפואת ילדים
 
חודשיים בתקופות רצופות של חודש או חודשיים כל אחת, באחד או בשניים מאלה: אנדוקרינולוגיה, כירורגיה אורולוגית, כירורגיה אורתופדית, כירורגיה כללית, נוירולוגיה, קרדיולוגיה, רדיותרפיה, מחלות זיהומיות, נוירוכירורגיה
 

6 חודשים מדעי היסוד",https://www.ima.org.il/internship/Syllabus.aspx?SpId=84,4.8,4,10,15,8,3,1,6,7,10,9,5,"16,954.00","19,965.92","3,011.92",31,20,60.61%,13.00,39.39%,58.33%,51.83%,4.5,,,,,,2,1,0.09%,0.37%,0.24,0.38%,0.24,
,כירורגית כלי דם,בסיס ועל,6,"כירורגית כלי-דם (מסלול בסיס)

6 שנים מהן –

18 חודשים לכירורגיה כללית;
42 חודשים כירורגיית כלי דם;
3 חודשים טיפול נמרץ;
3 חודשים לבחירה באחד ממקצועות אלה: כירורגיה אורתופדית, רדיולוגיה פולשנית, כירורגיית לב-חזה;
6 חודשים מדעי היסוד",https://www.ima.org.il/internship/Syllabus.aspx?SpId=85,6.5,5,20,16,8,1,3,9,8,14,16,9,"16,954.00","19,965.92","3,011.92",52,13,24.53%,40.00,75.47%,73.91%,67.30%,4.5,,,,68%,38%,7,8,0.46%,0.63%,0.73,0.68%,0.67,
,כירורגיה פלסטית ואסתטית,בסיס,6,"6 שנים מהן:

א. 6 חודשים במחלקה לכירורגיה כללית - חובה.

ב. ¼ 4 שנים במחלקה לכירורגיה פלסטית – חובה, ו-3 חודשים ביחידה מוכרת לכוויות (גם אם אינה במחלקה לכירורגיה פלסטית) - חובה.

ג. 3 חודשים ביחידה לכירורגיה של היד ובבית חולים שאין בו יחידת כירורגיה של היד, 3 חודשים במחלקה לכירורגיה אורתופדית, ובלבד שהמחלקה מטפלת בכירורגיה של היד ומועסק בה מומחה אחד לפחות בכירורגיה של היד – חובה.

ד. 3 חודשים במקצוע משנה אחד מדלהלן: מחלות אף אוזן וגרון וכירורגיה של ראש וצוואר, כירורגית פה ולסתות, מחלות עור ומין, כירורגיה אורולוגית, כירורגיה כללית, מחלות עיניים.

ה. 6 חודשים מדעי יסוד.
 ",https://www.ima.org.il/internship/Syllabus.aspx?SpId=73,6.2,10,13,21,27,34,14,16,14,22,25,15,"16,954.00","19,965.92","3,011.92",94,32,29.63%,76.00,70.37%,74.65%,66.60%,4.5,222,"מוגדר כמספר מיטות כירורגיה פלסטית, כוויות וט.נ. כוויות",,97%,30%,29,23,1.59%,1.13%,1.40,1.09%,1.45,
,כירורגית ילדים,בסיס ועל,6,"6 שנים, מהן –

שנה אחת במחלקה לכירורגית ילדים;
שנתיים במחלקה לכירורגיה כללית;
שנתיים ושלושה חודשים נוספים במחלקה לכירורגית ילדים;
3 חודשים בטיפול נמרץ ילודים או 3 חודשים טיפול נמרץ ילדים;
½ שנה מדעי יסוד.",https://www.ima.org.il/internship/Syllabus.aspx?SpId=74,6.3,29,7,3,5,5,5,3,1,3,1,2,"16,954.00","19,965.92","3,011.92",15,7,41.18%,10.00,58.82%,84.85%,66.67%,4.5,,,,,,,,0.00%,0.18%,0.00,0.08%,0.00,
,נוירוכירורגיה,בסיס,6,"6 שנים מהן -

54 חודשים נוירוכירורגיה
3 חודשים נוירולוגיה
3 חודשים טיפול נמרץ כללי
3 חודשים נוירו-רדיולוגיה
3 חודשים באחד מהמקצועות הבאים: אורתופדיה, אורתופדיה של הגב, טיפול נמרץ ילדים, טראומה, כירורגית ילדים, כירורגית כלי דם, כירורגיה כללית, כירורגיה פלסטית, נוירו-אנסטזיה, נוירו-פתולוגיה
6 חודשים מדעי יסוד",https://www.ima.org.il/internship/Syllabus.aspx?SpId=76,7.3,2,22,20,12,2,1,10,10,12,10,9,"16,954.00","19,965.92","3,011.92",56,15,25.42%,44.00,74.58%,88.31%,66.00%,4.5,285,מוגדר כמספר מיטות נוירוכירורגיה וט.נ. נוירוכירורגיה,,80%,45%,7,8,0.46%,0.68%,0.68,0.52%,0.88,
,בריאות הציבור,בסיס,4,"אחד משני המסלולים האלה:

1. שירותים קהילתיים

4 שנים מהן - 
א. 30 חודשים שירותים קהילתיים - חובה ו-6 חודשים אפידמיולוגיה - חובה.
ב. 6 חודשים במחלקה לרפואה פנימית או במחלקה לרפואת ילדים.
ג. 6 חודשים באחד מאלה או 3 חודשים בשניים מאלה: מחלקה או מכון קליני בבית חולים כללי, או מינהל רפואי או רפואת המשפחה במוסד מוכר.
ד. במהלך ההתמחות במקצוע הראשי יסיים המתמחה קורס אקדמי בישראל המוכר על פי חוק המועצה להשכלה גבוהה, התשי""ח-1958, ויציג תעודה על אחד מתארים אלה: Ph.D.,Dr.P.H.,MPH באפידמיולוגיה, M.Scבאפידמיולוגיה, M.Med.Sc. באפידמיולוגיה.


2. אפידמיולוגיה

4 שנים מהן - 
א. 30 חודשים אפידמיולוגיה - חובה ו-6 חודשים שירותים קהילתיים - חובה.
ב. 6 חודשים במחלקה לרפואה פנימית או במחלקה לרפואת ילדים.
ג. 6 חודשים באחד מאלה או 3 חודשים בשניים מאלה: מחלקה או מכון קליני בבית חולים כללי, או מינהל רפואי או רפואת המשפחה במוסד מוכר.
ד. במהלך ההתמחות במקצוע הראשי יסיים המתמחה קורס אקדמי בישראל המוכר על פי חוק המועצה להשכלה גבוהה, התשי""ח-1958, ויציג תעודה על אחד מתארים אלה: Ph.D.,Dr.P.H.,MPH באפידמיולוגיה, M.Scבאפידמיולוגיה, M.Med.Sc. באפידמיולוגיה.

 

בשני המסלולים, שנה אחת מתוך השנתיים הראשונות ושישה חודשים רצופים מתוך השנה האחרונה של ההתמחות יהיו במקצוע הראשי.

 ",https://www.ima.org.il/internship/Syllabus.aspx?SpId=88,4.8,18,5,7,15,10,8,3,9,11,14,11,"16,954.00","19,965.92","3,011.92",46,27,52.94%,24.00,47.06%,71.46%,85.72%,4.5,,,,,,1,1,0.06%,0.55%,0.11,0.68%,0.09,
,רפואת עור,בסיס,5,"(החל מ-31/01/2014)

 

5 שנים, מהן: 

א. 6 חודשים רפואה פנימית וחובה לקיימם במהלך השנתיים הראשונות להתמחות.
 
ב. ½3 שנים במחלקה למחלות עור ומין.
 
ג. 3 חודשים באחד מהמקצועות האלה: אימונולוגיה קלינית ואלרגולוגיה, אנדוקרינולוגיה, רפואת ילדים, אונקולוגיה, פסיכיאטריה, מחלות זיהומיות, גנטיקה רפואית, אנטומיה פתולוגית, מחלות עור ומין ילדים.
 
ד. 3 חודשים כירורגיה פלסטית
 
ה. 6 חודשים מדעי יסוד.  ",https://www.ima.org.il/internship/Syllabus.aspx?SpId=4,5.7,8,31,45,33,29,0,19,22,27,33,36,"16,954.00","19,965.92","3,011.92",131,78,56.93%,59.00,43.07%,86.03%,79.63%,4.5,88,מוגדר כמספר מיטות עור בלבד,,92%,37%,34,48,2.50%,1.58%,1.58,1.89%,1.33,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72%,50%,1647,1630,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71%,50%,,,,,,,,
